Source,Target
Beisen.AssessmentReport.Data.dll,DundasWinChart.dll
Beisen.AssessmentReport.Data.dll,Beisen.Logging.dll
Beisen.AssessmentReport.Data.dll,Beisen.Assessment.Model.dll
Beisen.AssessmentReport.Data.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.AssessmentReport.Data.dll,Beisen.Configuration.dll
Beisen.AssessmentReport.Data.dll,Beisen.ReportEngine.Core.dll
Beisen.AssessmentReport.Data.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.AssessmentReport.Data.dll,Beisen.Assessment.ServiceInterface.dll
Beisen.AssessmentReport.Data.dll,DundasWinExtensions.dll
Beisen.AssessmentReport.Data.dll,Beisen.Data.dll
Beisen.AssessmentReport.Data.dll,Beisen.Common.dll
Beisen.AssessmentReport.Data.dll,Beisen.Definition.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Logging.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Queue.dll
Beisen.BeisenUser.ServiceImp.dll,Microsoft.Crm.SdkTypeProxy.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.PlatformServices.ServiceInterface.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Entity.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Data.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Configuration.dll
Beisen.BeisenUser.ServiceImp.dll,MySpace.DataRelay.Client.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Common.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Search.Provider.dll
Beisen.BeisenUser.ServiceImp.dll,MySpace.Shared.dll
Beisen.BeisenUser.ServiceImp.dll,Newtonsoft.Json.dll
Beisen.BeisenUser.ServiceImp.dll,Microsoft.Crm.Sdk.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.BeisenUser.ServiceImp.dll,Beisen.Provisioning.dll
Beisen.BeisenUser.ServiceInterface.dll,Beisen.Entity.dll
Beisen.BeisenUser.ServiceInterface.dll,MySpace.Shared.dll
Beisen.BeisenUser.ServiceInterface.dll,Beisen.Common.dll
Beisen.BeisenUser.ServiceInterface.dll,Beisen.Configuration.dll
Beisen.BeisenUser.ServiceInterface.dll,Newtonsoft.Json.dll
Beisen.BeisenUser.Test.dll,Microsoft.VisualStudio.QualityTools.UnitTestFramework.dll
Beisen.BeisenUser.Test.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.BeisenUser.Test.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.BeisenUser.Test.dll,Beisen.Common2008.Test.dll
Beisen.BSP.Menbership.dll,Beisen.Entity.dll
Beisen.BSP.Menbership.dll,Enyim.Caching.dll
Beisen.BSP.Menbership.dll,MySpace.Shared.dll
